id,name,cue,email,entry_year
real-001,Asociación Comunidad Israelita Sefaradí Argentina,A-1060M,a1060.m@bue.edu.ar,2027
real-002,Centro Educativo Arquidiocesano Espíritu Santo,A-235M,a235.m@bue.edu.ar,2027
real-003,Centro Educativo Toratenu,A-394M,a394.m@bue.edu.ar,2027
real-004,Colegio Episcopal de Buenos Aires,A-632M,a632.m@bue.edu.ar,2027
real-005,Colegio Evangélico Buenos Aires,A-1109M,a1109.m@bue.edu.ar,2027
real-006,Colegio Francesco Faa Di Bruno,A-260M,a260.m@bue.edu.ar,2027
real-007,Colegio Internacional de las Islas,A-794M,a794.m@bue.edu.ar,2027
real-008,Colegio Manuel Belgrano,A-21M,a21.m@bue.edu.ar,2027
real-009,Colegio Presencia,A-920M,a920.m@bue.edu.ar,2027
real-010,"A-484 ""Instituto Don Orione""",A-484M,a484.m@bue.edu.ar,2027
real-011,Comunidad Educativa Victoria Pueblo Blanco,A-980M,a980.m@bue.edu.ar,2027
real-012,Del Carmen,A-15M,a15.m@bue.edu.ar,2027
real-013,Escuela Cristiana de la Puerta Abierta,A-983M,a983.m@bue.edu.ar,2027
real-014,Escuela modelo Domingo Faustino Sarmiento,A-341M,a341.m@bue.edu.ar,2027
real-015,Instituto Amanecer,A-1054M,a1054.m@bue.edu.ar,2027
real-016,Instituto Ana María Janer,A-1M,a1.m@bue.edu.ar,2027
real-017,Instituto Cabrini,A-290M,a290.m@bue.edu.ar,2027
real-018,Instituto Casa de Jesús,A-107M,a107.m@bue.edu.ar,2027
real-019,Instituto Ceferino Namuncurá,A-527M,a527.m@bue.edu.ar,2027
real-020,Instituto Cristo Rey,A-339M,a339.m@bue.edu.ar,2027
real-021,Instituto Divina Providencia,A-301M,a301.m@bue.edu.ar,2027
real-022,Instituto Educativo San Gregorio El Iluminador,A-466M,a466.m@bue.edu.ar,2027
real-023,Instituto Espíritu Santo,A-16M,a16.m@bue.edu.ar,2027
real-024,Instituto General San Martín,A-668M,a668.m@bue.edu.ar,2027
real-025,Instituto Hogar de la Infancia de la Boca,A-195M,a195.m@bue.edu.ar,2027
real-026,Instituto Inmaculada Concepción de Nuestra Señora de Lourdes,A-268M,a268.m@bue.edu.ar,2027
real-027,Instituto Integral Talpiot,A-584M,a584.m@bue.edu.ar,2027
real-028,Instituto Juana de Arco,A-1415M,a1415.m@bue.edu.ar,2027
real-029,Instituto Lange Ley,A-242M,a242.m@bue.edu.ar,2027
real-030,Instituto Marianista,A-59M,a59.m@bue.edu.ar,2027
real-031,Instituto Mater Dolorosa,A-464M,a464.m@bue.edu.ar,2027
real-032,Instituto Nuestra Señora de Fátima,A-430M,a430.m@bue.edu.ar,2027
real-033,Instituto Oxford,A-974M,a974.m@bue.edu.ar,2027
real-034,Instituto Plácido Marí­n,A-554M,a554.m@bue.edu.ar,2027
